Japanese,Ukrainian
あいます,зустрічатися
あそびます,розважатися
あらいます,мити
あります,мати, бути (у наявності у когось)
あるきます,ходити пішки
いいます,говорити, сказати
いきます,іти
いそぎます,поспішати
いります,бути необхідним, потрібно
うごきます,працювати, функціонувати
うたいます,співати
うります,продавати
おきます,прокидатися
おくります,відправляти, відсилати
おします,натискати, штовхати
おもいだします,пригадувати, згадувати
おもいます,думати, вважати
およぎます,плавати
おろします,знімати
おわります,закінчувати
かいます,купувати
かえします,повертати річ
かえります,іти додому, повертатися
かかります,витрачати час
かきます,писати, малювати
かします,позичати (давати у борг, напрокат)
かちます,перемагати
かぶります,одягати, носити (капелюх)
がんばります,старатися
